Entity,Code,Year,Fossil fuels (% equivalent primary energy),Renewables (% equivalent primary energy),Nuclear (% equivalent primary energy)
South America,,2013,68.04086303710938,28.540733337402344,0.7943896651268005
South America,,2014,68.41644287109375,27.95880699157715,0.7554330229759216
South America,,2015,67.76783752441406,28.051345825195312,0.7888169884681702
South America,,2016,66.33769226074219,29.5870418548584,0.8838782906532288
South America,,2017,65.45074462890625,30.41577911376953,0.7870432734489441
South America,,2018,63.71480941772461,31.61707878112793,0.8177023530006409
South America,,2019,62.67689895629883,32.16604232788086,0.8975762724876404
South America,,2020,60.15370559692383,34.75529861450195,0.9619553685188293
South America,,2021,62.58510971069336,32.356788635253906,0.9323996305465698
South Korea,KOR,1965,97.19218444824219,2.8078150749206543,0
South Korea,KOR,1966,96.79008483886719,3.2099153995513916,0
South Korea,KOR,1967,97.29728698730469,2.7027177810668945,0
South Korea,KOR,1968,97.70040893554688,2.29959774017334,0
South Korea,KOR,1969,97.07333374023438,2.9266607761383057,0
South Korea,KOR,1970,97.84461212158203,2.155395030975342,0
South Korea,KOR,1971,97.8458251953125,2.1541755199432373,0
South Korea,KOR,1972,97.84651184082031,2.153486490249634,0
South Korea,KOR,1973,98.36524963378906,1.6347564458847046,0
South Korea,KOR,1974,97.6670913696289,2.332909107208252,0
South Korea,KOR,1975,98.12647247314453,1.8735325336456299,0
South Korea,KOR,1976,98.21995544433594,1.7800427675247192,0
South Korea,KOR,1977,98.7352294921875,1.2054132223129272,0.0593549869954586
South Korea,KOR,1978,96.88003540039062,1.396591067314148,1.723375678062439
South Korea,KOR,1979,96.4335708618164,1.539095163345337,2.0273239612579346
South Korea,KOR,1980,96.57623291015625,1.250689148902893,2.1730799674987793
South Korea,KOR,1981,96.654541015625,1.6159815788269043,1.7294732332229614
South Korea,KOR,1982,96.67953491210938,1.0666205883026123,2.253838539123535
South Korea,KOR,1983,93.7679672241211,1.312051773071289,4.919975757598877
South Korea,KOR,1984,93.02854919433594,1.0462830066680908,5.925168037414551
South Korea,KOR,1985,90.87859344482422,1.5088706016540527,7.612539768218994
South Korea,KOR,1986,87.21866607666016,1.3128159046173096,11.468514442443848
South Korea,KOR,1987,84.12335968017578,1.5100772380828857,14.366571426391602
South Korea,KOR,1988,86.19337463378906,0.6779970526695251,13.128625869750977
South Korea,KOR,1989,84.80571746826172,0.9301869869232178,14.264093399047852
South Korea,KOR,1990,84.6234359741211,1.2995164394378662,14.077040672302246
South Korea,KOR,1991,85.89153289794922,0.8552601337432861,13.253203392028809
South Korea,KOR,1992,87.52899169921875,0.6740404963493347,11.79697036743164
South Korea,KOR,1993,88.09738159179688,0.8389674425125122,11.063658714294434
South Korea,KOR,1994,89.21817016601562,0.4319862127304077,10.349841117858887
South Korea,KOR,1995,88.66439056396484,0.5102640390396118,10.825346946716309
South Korea,KOR,1996,88.75376892089844,0.43619704246520996,10.810023307800293
South Korea,KOR,1997,89.33362579345703,0.40268635749816895,10.26368236541748
South Korea,KOR,1998,86.28071594238281,0.6597698330879211,13.0595121383667
South Korea,KOR,1999,85.63490295410156,0.5936902761459351,13.771401405334473
South Korea,KOR,2000,85.69136047363281,0.5420218110084534,13.766617774963379
South Korea,KOR,2001,85.9444580078125,0.312198281288147,13.74333381652832
South Korea,KOR,2002,85.716796875,0.4185769259929657,13.864630699157715
South Korea,KOR,2003,84.86959075927734,0.5985386967658997,14.531876564025879
South Korea,KOR,2004,85.24242401123047,0.5346380472183228,14.222939491271973
South Korea,KOR,2005,84.19673156738281,0.4535388648509979,15.349719047546387
South Korea,KOR,2006,84.3414306640625,0.45026689767837524,15.208290100097656
South Korea,KOR,2007,85.39506530761719,0.5043082237243652,14.100635528564453
South Korea,KOR,2008,84.91307067871094,0.5293462872505188,14.557581901550293
