id,pais,continente,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
SVN,Slovenia,Europe,16.81,17.32,17.45,17.26,13.48,13.38,14.88,15.51,16.12,7.29,6.99,8.97,7.99,8.02,7.69,7.44,7.23,7.27,7.19,8.38
LBR,Liberia,Africa,15.87,15.53,15.69,15.81,16.52,15.81,15.16,15.17,15.08,14.89,15.44,14.61,14.63,14.78,14.55,14.47,14.43,14.3,14.3,14.3
GNQ,Equatorial Guinea,Africa,15.24,16.79,16.25,17.68,18.1,20.13,18.55,19.47,19.74,20.38,19.99,20.94,20.01,20.92,19.93,17.49,15.25,13.98,13.19,10.69
EST,Estonia,Europe,14.83,19.98,21.37,20.62,12.21,14.6,15.95,13.51,14.75,20.48,16.44,19.87,21.43,17.37,18.59,18.44,18.28,16.29,16.7,16.24
SLV,El Salvador,North America,13.92,12.92,12.59,13.33,13.33,12.86,12.59,13.34,13.18,13.27,13.52,13.89,14.45,13.88,13.4,13.01,12.65,12.08,11.85,11.2
SUR,Suriname,South America,13.83,13.27,13.63,14.08,12.71,12.6,12.19,12.34,11.86,7.32,6.99,6.85,6.66,6.77,6.82,6.64,6.29,6.06,6.6,6.18
KGZ,Kyrgyzstan,Asia,13.64,14.79,12.71,12.93,15.88,15.39,14.82,15.32,12.72,12.04,12.41,12.8,11.64,10.39,10.31,10.62,10.48,9.84,8.87,8.47
MDA,Moldova,Europe,13.5,13.38,12.86,12.87,12.1,11.9,11.25,12.12,12.37,11.66,10.74,11.42,11.56,11.33,11.67,11.36,11.37,10.77,10.64,11.11
MRT,Mauritania,Africa,13.21,12.7,12.3,12.11,13.53,12.59,12.1,12.02,11.49,11.42,10.97,9.99,10.84,10.74,10.05,10.07,9.99,9.92,9.78,9.59
GHA,Ghana,Africa,12.75,10.94,9.3,7.24,61.02,59.55,60.02,57.97,55.38,69.81,68.02,66.85,67.09,66.85,65.64,63.4,64.55,64.05,62.8,28.4
MKD,Macedonia,Europe,11.26,10.36,10.88,10.36,10.42,10.67,11.07,11.96,12.49,11.57,11.72,12.42,12.64,12.14,12.13,11.77,11.99,11.15,11.76,11.74
HTI,Haiti,North America,11.13,11.03,11.02,11.0,10.74,10.38,9.96,9.67,9.91,9.01,8.45,8.4,8.37,7.95,7.89,7.79,7.91,7.87,7.57,7.39
LUX,Luxembourg,Europe,10.2,10.03,9.73,9.57,9.88,10.4,10.9,11.43,11.66,11.52,10.93,11.52,11.59,12.18,12.38,12.15,10.69,10.28,9.49,8.88
JAM,Jamaica,North America,10.15,10.34,8.92,9.27,8.83,8.94,9.13,8.67,9.19,6.44,6.83,8.58,10.99,11.07,9.86,9.9,9.99,9.56,9.39,12.24
ARM,Armenia,Asia,10.0,9.48,9.29,9.45,9.08,9.05,9.06,9.12,8.13,7.69,7.87,9.01,8.49,7.84,7.44,6.72,6.32,5.9,6.23,6.12
BRN,Brunei,Asia,9.63,10.14,9.83,9.42,8.77,9.56,9.58,9.8,9.83,10.49,11.2,11.4,10.54,11.03,8.32,8.47,9.02,7.87,7.91,7.96
SLE,Sierra Leone,Africa,9.45,9.72,10.14,10.28,10.54,10.4,9.86,9.91,8.79,8.17,8.44,8.1,8.87,9.6,8.15,8.18,7.76,6.83,6.46,5.96
