pais,codigo,continente,indice objetivos desarrollo sostenible,expectativa vida,indice desarrollo humano,pib per capita,grupo ingresos,poblacion,huella carbono,huella ecologica,biocapacidad,tierra,Idpais,Idcontinente
Papua New Guinea,PNG,Oceania,51.3,64.0,0.55,2.398,Bajos-Medios, 8.6 ,0.4,4.0,3.4,1.1,f670d3806d530c3e5cb1f31dca457751,2d8836190888267b97ce332cad2aa247
Paraguay,PRY,South America,66.9,74.0,0.73,5.380,Bajos-Medios, 7.0 ,1.0,8.6,10.1,1.9,73101738da81e5cbb87b64cd400a4405,aab422acb3d2334a6deca0e1495745c2
Peru,PER,South America,71.1,77.0,0.77,6.440,Medios-Altos, 32.0 ,1.3,4.5,3.6,1.5,84c8fa2341f7d052a1ee3a36ff043798,aab422acb3d2334a6deca0e1495745c2
Philippines,PHL,Asia,64.5,71.0,0.71,3.188,Bajos-Medios, 106.7 ,1.1,2.5,0.5,0.9,77dab2f81a6c8c9136efba7ab2c4c0f2,154a67340e8c14dd5253dc4ff6120197
Poland,POL,Europe,80.2,78.0,0.88,16.666,Altos, 37.9 ,5.9,9.5,1.9,3.0,94880bda83bda77c5692876700711f15,912d59cdf1d3f551fae21f6f0062258f
Portugal,PRT,Europe,78.6,81.0,0.86,24.180,Altos, 10.3 ,4.3,7.7,1.3,2.9,ea71b362e3ea9969db085abfccdeb10d,912d59cdf1d3f551fae21f6f0062258f
Qatar,QAT,Asia,66.7,80.0,0.85,63.990,Altos, 2.8 ,24.6,26.2,0.9,9.0,7cc7ef17c45527cf90fcf27516794d21,154a67340e8c14dd5253dc4ff6120197
Republic of Moldova,MDA,Europe,73.7,72.0,0.75,2.356,Bajos-Medios, 4.1 ,1.7,3.9,1.2,1.2,09f066924bc24722c67666def3bce58f,912d59cdf1d3f551fae21f6f0062258f
Republic of North Macedonia,MKD,Europe,72.5,76.0,0.77,5.452,Medios-Altos, 2.1 ,3.1,5.1,1.5,2.0,0293809fcf7ea684b4d21fffdaedbb52,912d59cdf1d3f551fae21f6f0062258f
Réunion,REU,Africa,,,,,, 0.9 ,0.0,6.7,0.2,2.9,8bf4189cd5775e55e86d05a650d97ceb,f5cd262901883dff68d06b215fb0f28e
Romania,ROU,Europe,75.0,75.0,0.82,11.535,Medios-Altos, 19.5 ,3.0,7.3,3.2,2.3,0c7d5ae44b2a0be9ebd7d6b9f7d60f20,912d59cdf1d3f551fae21f6f0062258f
Russian Federation,RUS,Europe,73.8,73.0,0.82,11.940,Medios-Altos, 145.7 ,7.6,11.7,6.7,3.4,07d62aa19a9a95c07515769b604bad36,912d59cdf1d3f551fae21f6f0062258f
Rwanda,RWA,Africa,57.6,69.0,0.54,845,Bajos, 12.3 ,0.1,1.4,0.4,0.5,9d7ed5d77d647e89c3cc11757d651dc2,f5cd262901883dff68d06b215fb0f28e
