anio,pais,combustible,continente,Idanio,Idpais,Idcombustible,Idcontinente
None,French Polynesia,None,None,6adf97f83acf6453d4a6a4b1070f3754,8e49db69269b7f99afa25722e87fa67e,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Gabon,None,None,6adf97f83acf6453d4a6a4b1070f3754,fceb5af40df295d85851f390f4f8d78d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Georgia,None,None,6adf97f83acf6453d4a6a4b1070f3754,eada819634d0164c6a7547bdcc405033,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Germany,None,None,6adf97f83acf6453d4a6a4b1070f3754,d8b00929dec65d422303256336ada04f,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Ghana,None,None,6adf97f83acf6453d4a6a4b1070f3754,e7400496f1ce70cb62c2c44ca2ddc469,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Gibraltar,None,None,6adf97f83acf6453d4a6a4b1070f3754,672566a43483aa8212cb365658600b99,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Greece,None,None,6adf97f83acf6453d4a6a4b1070f3754,6b718641741f992e68ec3712718561b8,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Greenland,None,None,6adf97f83acf6453d4a6a4b1070f3754,583eda79d32f7c1cb0840862787a73ca,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Grenada,None,None,6adf97f83acf6453d4a6a4b1070f3754,45b1cb9a558807139085c645d2f47f07,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Guadeloupe,None,None,6adf97f83acf6453d4a6a4b1070f3754,0dc81c66d1c08d6ca64c7e8b60ae78fb,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Guam,None,None,6adf97f83acf6453d4a6a4b1070f3754,2dc47f81fc4257e14c4d0fcd90d03b9a,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Guatemala,None,None,6adf97f83acf6453d4a6a4b1070f3754,948b13d5a3e11e21baadc349e199020e,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Guinea,None,None,6adf97f83acf6453d4a6a4b1070f3754,8e4d9eeed250a9d065ac2bb8bdc67b30,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Guinea-Bissau,None,None,6adf97f83acf6453d4a6a4b1070f3754,2d65f5236205dd23c6a8212627568fb8,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Guyana,None,None,6adf97f83acf6453d4a6a4b1070f3754,cf4c7e1169281886577940e361854a84,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Haiti,None,None,6adf97f83acf6453d4a6a4b1070f3754,b88959cb7d907d91065ac7ec19eb0b44,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Honduras,None,None,6adf97f83acf6453d4a6a4b1070f3754,f4270ce39e7e926052e097a0e4e63bde,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Hong Kong,None,None,6adf97f83acf6453d4a6a4b1070f3754,8b476ff778119b8d49588f3daadf69a1,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Hungary,None,None,6adf97f83acf6453d4a6a4b1070f3754,fa79c3005daec47ecff84a116a0927a1,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Iceland,None,None,6adf97f83acf6453d4a6a4b1070f3754,b78edab0f52e0d6c195fd0d8c5709d26,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,India,None,None,6adf97f83acf6453d4a6a4b1070f3754,7d31e0da1ab99fe8b08a22118e2f402b,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Indonesia,None,None,6adf97f83acf6453d4a6a4b1070f3754,4647d00cf81f8fb0ab80f753320d0fc9,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Iran,None,None,6adf97f83acf6453d4a6a4b1070f3754,21fc68909a9eb8692e84cf64e495213e,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Iraq,None,None,6adf97f83acf6453d4a6a4b1070f3754,5ae2ff99743a8487c917e98bbf3db2d3,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
