,Pais,Continente,Codigo,Anio,Combustibles Fosiles,Renovables,Nuclear,Id_Pais
380,Australia,Oceania,AUS,2003,95.98503875732422,4.0149688720703125,0.0,4442e4af0916f53a07fb8ca9a49b98ed
381,Australia,Oceania,AUS,2004,95.96343994140624,4.036560535430908,0.0,4442e4af0916f53a07fb8ca9a49b98ed
382,Australia,Oceania,AUS,2005,95.68644714355467,4.313553333282471,0.0,4442e4af0916f53a07fb8ca9a49b98ed
383,Australia,Oceania,AUS,2006,95.7665786743164,4.233413219451904,0.0,4442e4af0916f53a07fb8ca9a49b98ed
384,Australia,Oceania,AUS,2007,96.02326965332033,3.976722717285156,0.0,4442e4af0916f53a07fb8ca9a49b98ed
385,Australia,Oceania,AUS,2008,96.31866455078124,3.681326389312744,0.0,4442e4af0916f53a07fb8ca9a49b98ed
386,Australia,Oceania,AUS,2009,96.07972717285156,3.920266151428223,0.0,4442e4af0916f53a07fb8ca9a49b98ed
387,Australia,Oceania,AUS,2010,95.68719482421876,4.312804698944092,0.0,4442e4af0916f53a07fb8ca9a49b98ed
388,Australia,Oceania,AUS,2011,94.30101776123048,5.698980808258057,0.0,4442e4af0916f53a07fb8ca9a49b98ed
389,Australia,Oceania,AUS,2012,94.29978942871094,5.700209140777588,0.0,4442e4af0916f53a07fb8ca9a49b98ed
390,Australia,Oceania,AUS,2013,93.47412872314452,6.525868892669678,0.0,4442e4af0916f53a07fb8ca9a49b98ed
391,Australia,Oceania,AUS,2014,94.02017974853516,5.979823112487793,0.0,4442e4af0916f53a07fb8ca9a49b98ed
392,Australia,Oceania,AUS,2015,93.7099838256836,6.290020942687988,0.0,4442e4af0916f53a07fb8ca9a49b98ed
393,Australia,Oceania,AUS,2016,92.81082916259766,7.189175605773926,0.0,4442e4af0916f53a07fb8ca9a49b98ed
394,Australia,Oceania,AUS,2017,93.2498779296875,6.750126838684082,0.0,4442e4af0916f53a07fb8ca9a49b98ed
395,Australia,Oceania,AUS,2018,91.69994354248048,8.300061225891113,0.0,4442e4af0916f53a07fb8ca9a49b98ed
396,Australia,Oceania,AUS,2019,91.1192855834961,8.880722045898438,0.0,4442e4af0916f53a07fb8ca9a49b98ed
397,Australia,Oceania,AUS,2020,89.21019744873047,10.78981113433838,0.0,4442e4af0916f53a07fb8ca9a49b98ed
398,Australia,Oceania,AUS,2021,87.06646728515625,12.933531761169434,,4442e4af0916f53a07fb8ca9a49b98ed
399,Austria,Europe,AUT,1965,74.90359497070312,25.096406936645508,0.0,9891739094756d2605946c867b32ad28
400,Austria,Europe,AUT,1966,74.15980529785156,25.840192794799805,0.0,9891739094756d2605946c867b32ad28
401,Austria,Europe,AUT,1967,73.88107299804688,26.11892890930176,0.0,9891739094756d2605946c867b32ad28
402,Austria,Europe,AUT,1968,74.90083312988281,25.099164962768555,0.0,9891739094756d2605946c867b32ad28
403,Austria,Europe,AUT,1969,77.7246322631836,22.27536964416504,0.0,9891739094756d2605946c867b32ad28
404,Austria,Europe,AUT,1970,75.22975158691406,24.77025604248047,0.0,9891739094756d2605946c867b32ad28
405,Austria,Europe,AUT,1971,80.34770202636719,19.65230178833008,0.0,9891739094756d2605946c867b32ad28
406,Austria,Europe,AUT,1972,80.4758529663086,19.524147033691406,0.0,9891739094756d2605946c867b32ad28
407,Austria,Europe,AUT,1973,79.8226089477539,20.177391052246094,0.0,9891739094756d2605946c867b32ad28
408,Austria,Europe,AUT,1974,76.26547241210938,23.734527587890625,0.0,9891739094756d2605946c867b32ad28
