anio,anomalia la temperatura media promedio 1961 a 1990,limite superior,limite inferior,Id_anio
1981,0.14,0.153,0.125,b3b4d2dbedc99fe843fd3dedb02f086f
1982,0.011,0.03,-0.011,fb87582825f9d28a8d42c5e5e5e8b23d
1983,0.194,0.211,0.174,1e4d36177d71bbb3558e43af9577d70e
1984,-0.014,0.006,-0.033,1b36ea1c9b7a1c3ad668b8bb5df7963f
1985,-0.03,-0.013,-0.048,1f36c15d6a3d18d52e8d493bc8187cb9
1986,0.045,0.067,0.024,8c249675aea6c3cbd91661bbae767ff1
1987,0.192,0.22,0.171,d68a18275455ae3eaa2c291eebb46e6d
1988,0.198,0.221,0.175,9d7311ba459f9e45ed746755a32dcd11
1989,0.118,0.147,0.091,4a3e00961a08879c34f91ca0070ea2f5
1990,0.296,0.33,0.267,dc513ea4fbdaa7a14786ffdebc4ef64e
1991,0.254,0.289,0.22,96055f5b06bf9381ac43879351642cf5
1992,0.105,0.139,0.071,d5c186983b52c4551ee00f72316c6eaa
1993,0.148,0.186,0.112,c5a4e7e6882845ea7bb4d9462868219b
1994,0.208,0.247,0.174,008bd5ad93b754d500338c253d9c1770
1995,0.325,0.361,0.289,3f088ebeda03513be71d34d214291986
1996,0.183,0.217,0.146,6351bf9dce654515bf1ddbd6426dfa97
1997,0.39,0.425,0.356,06964dce9addb1c5cb5d6e3d9838f733
1998,0.539,0.578,0.5,c5b2cebf15b205503560c4e8e6d1ea78
1999,0.306,0.343,0.265,5ec829debe54b19a5f78d9a65b900a39
2000,0.294,0.338,0.259,08f90c1a417155361a5c4b8d297e0d78
2001,0.441,0.483,0.406,d0fb963ff976f9c37fc81fe03c21ea7b
2002,0.496,0.538,0.463,4ba29b9f9e5732ed33761840f4ba6c53
2003,0.505,0.546,0.473,a591024321c5e2bdbd23ed35f0574dde
2004,0.447,0.483,0.413,b8b4b727d6f5d1b61fff7be687f7970f
2005,0.545,0.583,0.507,d47268e9db2e9aa3827bba3afb7ff94a
2006,0.506,0.544,0.468,ea5a486c712a91e48443cd802642223d
2007,0.491,0.531,0.457,a00e5eb0973d24649a4a920fc53d9564
2008,0.395,0.432,0.355,ef8446f35513a8d6aa2308357a268a7e
2009,0.506,0.546,0.465,f1981e4bd8a0d6d8462016d2fc6276b3
2010,0.56,0.603,0.523,d7a84628c025d30f7b2c52c958767e76
2011,0.425,0.466,0.393,c8758b517083196f05ac29810b924aca
2012,0.47,0.509,0.437,253614bbac999b38b5b60cae531c4969
2013,0.514,0.552,0.478,8038da89e49ac5eabb489cfc6cea9fc1
2014,0.579,0.616,0.545,cee8d6b7ce52554fd70354e37bbf44a2
2015,0.763,0.802,0.73,65d2ea03425887a717c435081cfc5dbb
2016,0.797,0.835,0.762,95192c98732387165bf8e396c0f2dad2
2017,0.677,0.716,0.636,8d8818c8e140c64c743113f563cf750f
2018,0.597,0.636,0.56,84ddfb34126fc3a48ee38d7044e87276
2019,0.736,0.776,0.7,ea6b2efbdd4255a9f1b3bbc6399b58f4
